Gene_ID,Sample_1_Reads,Sample_2_Reads
AP3B1,1633,158
AP3B2,20,0
AP3D1,8066,10
AP3M1,1112,322
AP3M2,1334,0
AP3S1,3445,662
AP3S2,2437,146
AP4B1,218,0
AP4B1-AS1,5,0
AP4E1,561,26
AP4M1,223,0
AP4S1,249,0
AP5B1,1663,4
AP5M1,720,2
AP5S1,436,0
AP5Z1,1394,2
APAF1,601,36
APBA1,19,2
APBA2,653,0
APBA3,1607,0
APBB1,635,134
APBB1IP,0,2
APBB2,1745,132
APBB3,398,2
APC,487,330
APC2,473,0
APCDD1,7,2
APCDD1L,181,0
APCDD1L-AS1,83,0
APCS,0,0
APEH,6942,46
APELA,0,0
APEX1,6028,8
APEX2,1048,0
APH1A,5941,1418
APH1B,138,0
API5,3948,76
APIP,852,0
APLF,32,0
APLN,44,0
APLNR,0,0
APLP1,1680,10
APLP2,76478,2278
APMAP,7413,2
APOA1,2,20
APOA2,0,26
APOA4,0,0
APOA5,3,0
APOB,2,96
APOBEC1,0,0
APOBEC2,10,0
APOBEC3B,4406,0
APOBEC3C,598,0
APOBEC3D,40,0
APOBEC3F,308,0
APOBEC3G,5,0
APOBEC3H,19,0
APOBEC4,0,0
APOBR,8,0
APOC1,112,10
APOC1P1,3,0
APOC2,6,0
APOC3,0,2
APOC4,0,0
APOD,12,0
APOE,501,72
APOF,0,0
APOH,0,12
APOL1,721,2
APOL2,1538,0
APOL3,616,2
APOL4,6,0
APOL5,5,0
APOL6,4075,0
APOLD1,851,4
APOM,0,0
APOO,507,0
APOOL,537,2
APOOP1,0,0
APOOP5,0,0
APOPT1,3328,2
APP,41120,3804
APPBP2,889,134
APPL1,2475,166
APPL2,412,0
APRT,6839,2
APTR,767,0
APTX,1588,6
AQP1,106,32
AQP10,0,0
AQP11,115,0
AQP12A,0,0
AQP12B,0,0
AQP2,0,0
AQP3,1505,0
AQP4,2,0
AQP4-AS1,0,0
AQP5,0,0
AQP6,2,0
AQP7,4,0
AQP7P1,0,0
AQP7P3,4,0
AQP8,2,0
AQP9,0,0
AQR,1492,2
AR,0,20
ARAF,1246,52
ARAP1,4588,2
ARAP1-AS2,2,0
ARAP2,421,6
ARAP3,430,10
ARC,74,0
ARCN1,15678,688
AREG,84,0
AREL1,1936,112
ARF1,37779,1328
ARF3,14295,24
ARF4,26368,698
ARF5,7152,974
ARF6,6958,3030
ARFGAP1,9298,10
ARFGAP2,4343,3
ARFGAP3,3043,6
ARFGEF1,2091,454
ARFGEF2,3509,86
ARFGEF3,1947,2
ARFIP1,2084,66
ARFIP2,2576,839
ARFRP1,654,6
ARG1,2,0
ARG2,1122,0
ARGFX,0,0
ARGFXP2,4,0
ARGLU1,2184,568
ARHGAP1,3060,6
ARHGAP10,691,48
ARHGAP11A,5112,0
ARHGAP11B,251,0
ARHGAP12,1502,18
ARHGAP15,0,0
ARHGAP17,1155,56
ARHGAP18,841,8
ARHGAP19,653,4
ARHGAP20,24,0
ARHGAP21,3407,18
ARHGAP22,35,8
ARHGAP23,13002,590
ARHGAP24,6,2
ARHGAP25,0,0
ARHGAP26,828,10
ARHGAP27,0,0
ARHGAP27P1,887,2
ARHGAP28,0,0
ARHGAP29,15615,4
ARHGAP30,50,0
ARHGAP31,615,10
ARHGAP32,1224,10
ARHGAP33,1088,2
ARHGAP35,8916,230
ARHGAP36,0,0
ARHGAP39,1765,0
ARHGAP4,83,4
ARHGAP40,299,0
ARHGAP42,109,0
ARHGAP44,727,54
ARHGAP45,571,0
ARHGAP5,3783,716
ARHGAP5-AS1,82,0
ARHGAP6,0,14
ARHGAP8,10,0
ARHGAP9,0,2
ARHGDIA,7142,8
ARHGDIB,3723,4
ARHGDIG,180,0
ARHGEF1,3540,8
ARHGEF10,803,0
ARHGEF10L,1317,22
ARHGEF11,2132,60
ARHGEF12,7064,105
ARHGEF15,0,6
ARHGEF16,1816,0
ARHGEF17,2053,4
ARHGEF18,7439,0
ARHGEF19,969,2
ARHGEF2,6921,3
ARHGEF25,483,92
ARHGEF26,24,0
ARHGEF26-AS1,0,0
ARHGEF28,1868,4
ARHGEF3,526,2
ARHGEF33,20,0
ARHGEF34P,607,0
ARHGEF35,605,0
ARHGEF37,2114,0
ARHGEF38,37,0
ARHGEF39,535,0
ARHGEF4,498,4
ARHGEF40,842,753
ARHGEF5,1538,0
ARHGEF6,62,14
ARHGEF7,1955,2
ARHGEF9,538,32
ARID1A,4850,4368
ARID1B,1219,466
ARID2,581,356
ARID3A,780,4
ARID3B,390,0
ARID3C,21,0
ARID4A,601,58
ARID4B,2341,156
ARID5A,412,4
ARID5B,128,112
ARIH1,3631,2714
ARIH2,4200,22
ARIH2OS,58,0
ARL1,4355,400
ARL10,137,2
ARL11,8,0
ARL13A,14,0
ARL13B,551,0
ARL14,422,0
ARL14EP,713,2
ARL15,93,0
ARL16,1184,1
ARL17A,3,0
ARL17B,1,0
ARL2,5192,6
ARL2BP,3198,4
ARL3,837,0
ARL4A,477,20
ARL4C,1602,580
ARL4D,1090,0
ARL5A,1841,10
ARL5B,1218,2
ARL5C,5,0
ARL6,76,0
ARL6IP1,44284,26
ARL6IP4,6195,4
ARL6IP5,3640,156
ARL6IP6,2173,4
ARL8A,3300,604
ARL8B,4914,438
ARL9,1,0
ARMC1,3048,0
ARMC10,1084,0
ARMC12,2,0
ARMC2,68,0
ARMC3,4,0
ARMC4,7,0
ARMC5,340,0
ARMC6,1639,0
ARMC7,433,0
ARMC8,1105,132
ARMC9,131,0
ARMCX1,16,4
ARMCX2,0,122
ARMCX3,1877,86
ARMCX3-AS1,1,0
ARMCX4,88,0
ARMCX5,379,0
ARMCX6,433,0
ARMS2,0,0
ARMT1,739,2
ARNT,1169,188
ARNT2,52,42
ARNTL,466,154
ARNTL2,2418,2
ARPC1A,4262,22
ARPC1B,10475,414
ARPC2,8381,3230
ARPC3,4652,0
ARPC4,7353,610
ARPC5,7983,18
ARPC5L,7261,18
ARPIN,525,0
ARPP19,6804,4
ARPP21,0,0
ARR3,8,0
ARRB1,438,2
ARRB2,3073,62
ARRDC1,4350,4
ARRDC1-AS1,1050,0
ARRDC2,1122,0
ARRDC3,1316,110
ARRDC3-AS1,29,0
ARRDC4,326,0
ARRDC5,6,0
ARSA,534,0
ARSB,253,4
ARSD,326,0
ARSD-AS1,0,0
ARSE,2,2
ARSF,0,0
ARSG,279,0
ARSH,8,0
ARSI,252,0
ARSJ,197,0
ARSK,231,0
ART1,0,0
ART3,0,0
ART4,0,0
ART5,20,0
ARTN,159,0
ARV1,1276,0
ARVCF,724,6
ARX,16,0
AS3MT,550,0
ASAH1,2413,14
ASAH2,4,0
ASAH2B,9,0
ASAP1,3476,564
ASAP1-IT1,0,0
ASAP2,4897,26
ASAP3,1322,4
ASB1,515,0
ASB10,0,0
ASB11,0,0
ASB12,8,0
ASB13,1709,2
ASB14,7,0
ASB15,0,0
ASB16,44,0
ASB16-AS1,200,0
ASB17,0,0
ASB18,0,0
ASB2,73,0
ASB3,53,0
ASB4,0,0
ASB5,0,2
ASB6,2040,0
ASB7,537,18
ASB8,438,134
ASB9,90,0
ASB9P1,8,0
ASCC1,1214,0
ASCC2,2322,189
ASCC3,1987,100
ASCL1,0,0
ASCL2,26,0
ASCL3,4,0
ASCL4,0,0
ASCL5,13,0
ASF1A,948,216
ASF1B,9653,4
ASGR1,92,6
ASGR2,0,10
ASH1L,1772,180
ASH1L-AS1,205,0
ASH2L,1415,34
ASIC1,175,0
ASIC2,0,0
ASIC3,66,0
ASIC4,31,0
ASIC5,0,0
ASIP,2,0
ASL,1488,0
ASMT,0,0
ASMTL,0,0
ASMTL-AS1,0,0
ASNA1,10472,292
ASNS,6130,0
ASNSD1,1088,2
ASPA,0,2
ASPDH,28,0
ASPG,0,0
ASPH,14719,33
ASPHD1,2955,0
ASPHD2,62,0
ASPM,1938,2
ASPN,2,20
ASPRV1,19,0
ASPSCR1,1533,0
ASRGL1,999,2
ASS1,22841,75
ASTE1,174,0
ASTL,6,0
ASTN1,0,2
ASTN2,172,2
ASTN2-AS1,2,0
ASXL1,4452,146
ASXL2,1566,32
ASXL3,8,0
ASZ1,0,0
ATAD1,67,182
ATAD2,11679,46
ATAD2B,348,38
ATAD3A,2696,2
ATAD3B,798,0
ATAD3C,15,0
ATAD5,444,1
ATAT1,0,0
ATCAY,0,0
ATE1,1071,4
ATE1-AS1,36,0
ATF1,844,2
